year,aldermanic,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
2002,7,11276,8303,2912,64100,108442.1386414254,73.6342674707343,25.824760553387726
2002,8,7142,5507,1610,71100,120284.49387527841,77.10725287034444,22.542705124614955
2002,9,8258,6906,1337,92200,155980.73608017818,83.62799709372729,16.190360862194236
2002,NA,3,3,0,40900,69193.1898663697,100,0
2003,1,10578,8171,2370,62600,103880.10158383398,77.2452259406315,22.404991491775384
2003,10,10154,8586,1561,106000,175899.2135445112,84.55780973015561,15.37325192042545
2003,11,11259,10468,788,126400,209751.51501911526,92.97450928146371,6.998845368149925
2003,12,6384,3960,2412,49500,82141.613872201,62.03007518796993,37.78195488721804
2003,13,10333,9686,644,120300,199629.01310759148,93.73850769379656,6.2324591115842445
2003,14,11392,9626,1760,107200,177890.5253959585,84.49789325842697,15.44943820224719
2003,15,8265,4654,3560,34600,57416.15838339706,56.30973986690865,43.073200241984274
2003,2,9403,8117,1276,82000,136072.97651556527,86.32351377220037,13.570137190258427
2003,3,5987,4327,1656,183100,303841,72.27325872724236,27.659929848004012
2003,4,2022,1405,615,136850,227092.52239213546,69.48565776458952,30.415430267062316
2003,5,11433,10387,1034,110400,183200.6903331513,90.85104521997725,9.043995451762441
2003,6,9057,5469,3543,40500,67206.77498634627,60.38423318979794,39.118913547532294
2003,7,11243,8352,2855,69000,114500.43145821957,74.28622253846838,25.393578226452014
2003,8,7139,5600,1533,76000,126116.41725832879,78.44235887379185,21.473595741700517
2003,9,8281,6956,1306,96400,159968.71873293284,83.99951696654993,15.771042144668519
2003,NA,3,3,0,44500,73844.48115783725,100,0
2004,1,10594,8176,2390,68000,109376.3260984648,77.175759864074,22.55993958844629
2004,10,10165,8591,1566,116100,186743.99205929064,84.51549434333498,15.405804230201673
2004,11,11286,10491,794,139100,223738.92588671256,92.9558745348219,7.035264930001772
2004,12,6458,4059,2387,54100,87018.51826363156,62.85227624651595,36.96190771136575
2004,13,10339,9719,618,132400,212962.14081524615,94.00328851919915,5.977367250217623
2004,14,11411,9664,1745,117400,188835.01005823186,84.69021119971957,15.29226185259837
2004,15,8340,4689,3570,38300,61604.607199576494,56.223021582733814,42.805755395683455
2004,2,9423,8160,1247,90700,145888.71731074643,86.5966252785737,13.233577416958505
2004,3,6145,4383,1759,197100,317030.4981471678,71.32628152969895,28.624898291293732
2004,4,2262,1594,667,153500,246900.97141344627,70.46861184792219,29.48717948717949
2004,5,11443,10403,1029,122200,196555.69190047643,90.91147426374202,8.992397098662938
2004,6,9182,5591,3530,42600,68521.0513499206,60.89087344805053,38.444783271618384
2004,7,11271,8377,2861,74700,120153.11116993119,74.32348505012865,25.383728151894243
2004,8,7153,5641,1505,83400,134146.84700899947,78.86201593736894,21.04012302530407
2004,9,8287,7018,1258,104400,167924.8300688195,84.6868589356824,15.180403040907445
2004,NA,3,3,0,49200,79136.98888300688,100,0
2005,1,10588,8214,2363,78150,122587.37299948375,77.5783906309029,22.317718171514922
2005,10,10166,8578,1581,130400,204547.5807950439,84.37930356088924,15.551839464882944
2005,11,11318,10498,819,150600,236233.63242127004,92.75490369323201,7.236260823467043
2005,12,6443,4158,2279,65300,102430.65203923595,64.53515443116561,35.3717212478659
2005,13,10350,9760,588,143300,224782.7325761487,94.29951690821255,5.681159420289855
2005,14,11441,9681,1757,133000,208625.98347960768,84.61672930687877,15.357049208985229
2005,15,8351,4786,3505,52700,82666.08518327311,57.31050173631901,41.971021434558736
2005,2,9429,8192,1228,101500,159214.5663397006,86.8808993530597,13.02365044013151
2005,3,6339,4471,1864,219000,343526.9953536397,70.53162959457327,29.405268969869063
2005,4,2390,1708,681,168400,264155.0046463604,71.46443514644352,28.493723849372387
2005,5,11467,10443,1020,134100,210351.46153846156,91.07002703409785,8.895090259004098
2005,6,9222,5623,3553,53500,83920.97831698504,60.97375840381696,38.52743439600954
2005,7,11264,8421,2813,87450,137175.5056788849,74.76029829545455,24.973366477272727
2005,8,7147,5707,1432,97700,153253.82395456894,79.85168602210719,20.03637890023786
2005,9,8358,7096,1251,113850,178586.97909137845,84.90069394592008,14.967695620961951
2005,NA,3,3,0,53800,84391.56324212701,100,0
2006,1,10589,8022,2537,89700,135057.1739345887,75.75786193219378,23.95882519595807
2006,10,10167,8475,1680,145800,219524.3696729435,83.3579226910593,16.524048391856006
2006,11,11345,10488,854,163200,245722.75123885032,92.44601145879243,7.5275451740855
2006,12,6619,4096,2506,77600,116838.75916749256,61.882459586040184,37.86070403384197
2006,13,10346,9692,650,156700,235935.99950445985,93.67871641213996,6.2826213029190034
2006,14,11466,9614,1846,150600,226751.5094152626,83.84789813361242,16.099773242630384
2006,15,8347,4653,3632,66800,100577.69474727452,55.74457889061939,43.51263927159458
2006,2,9432,8082,1323,115600,174053.6154608523,85.68702290076335,14.026717557251908
2006,3,6469,4597,1867,241700,363916.5991080277,71.06198794249498,28.860720358633486
2006,4,2562,1774,787,180000,271017.7403369673,69.24277907884465,30.71818891491023
2006,5,11500,10386,1101,145300,218771.54261645192,90.31304347826087,9.57391304347826
2006,6,9221,5543,3639,66300,99824.86769078295,60.11278603188374,39.464266348552215
2006,7,11266,8231,2988,100600,151468.80376610503,73.060536126398,26.522279424818034
2006,8,7155,5634,1509,112600,169536.65312190287,78.74213836477988,21.09014675052411
2006,9,8372,7058,1298,125000,188206.76412289395,84.30482560917343,15.50406115623507
2006,NA,3,3,0,61200,92146.03171456888,100,0
2007,1,10584,7935,2596,89800,131662.38069042724,74.97165532879818,24.5275888133031
2007,10,10192,8405,1759,146350,214574.49236129207,82.46664050235479,17.258634222919937
2007,11,11365,10477,879,163700,240012.6026617254,92.18653761548615,7.734271887373516
2007,12,6488,4139,2321,79100,115974.3241939064,63.79469790382244,35.77373612823674
2007,13,10340,9648,680,156900,230042.62283216076,93.30754352030948,6.5764023210831715
2007,14,11456,9593,1846,151700,222418.52060955248,83.73777932960894,16.113826815642458
2007,15,8417,4549,3808,67400,98820.09419303782,54.04538434121421,45.24177260306523
2007,2,9425,7960,1416,115800,169782.89180346855,84.45623342175065,15.023872679045091
2007,3,6550,4619,1926,245400,359798.97796693596,70.51908396946564,29.404580152671755
2007,4,3253,2185,1065,215000,315227.30343476456,67.16876729173072,32.739010144482016
2007,5,11521,10350,1151,145600,213474.86223303125,89.83595174030032,9.990452217689437
2007,6,9348,5492,3796,66500,97500.53803912486,58.75053487376979,40.60761660248182
2007,7,11255,8044,3141,100800,147790.28923825242,71.47045757441137,27.907596623722792
2007,8,7157,5618,1526,113300,166117.4580425992,78.4965767779796,21.321782869917563
2007,9,8399,7004,1369,126000,184737.86154781553,83.39087986665079,16.299559471365637
2007,NA,3,3,0,61200,89729.81846608182,100,0
2008,1,10580,7701,2746,94300,131756.69562178396,72.7882797731569,25.954631379962194
2008,10,10199,8323,1817,144900,202455.41034566803,81.60603980782429,17.81547210510834
2008,11,11368,10449,894,161000,224950.45593963112,91.91590429275158,7.864180154820549
2008,12,6650,4083,2494,90200,126028.14363822812,61.39849624060151,37.50375939849624
2008,13,10343,9633,683,156200,218243.85849546822,93.13545393019433,6.603499951658126
2008,14,11487,9534,1909,151100,211118.0987110451,82.9981718464351,16.618786454252636
2008,15,8480,4397,3863,76600,107026.1175464332,51.85141509433963,45.554245283018865
2008,2,9432,7766,1546,116700,163054.1503612109,82.33672603901611,16.39100932994063
2008,3,6608,4684,1916,238750,333583.3624570617,70.88377723970945,28.99515738498789
2008,4,3535,2345,1174,217300,303613.25512845867,66.33663366336634,33.21074964639321
2008,5,11525,10259,1212,145300,203014.29346601493,89.01518438177874,10.516268980477223
2008,6,9399,5374,3855,79900,111636.90328929521,57.176295350569205,41.015001595914455
2008,7,11254,7797,3275,106400,148662.91001227798,69.28203305491381,29.10076417273858
2008,8,7162,5535,1572,115900,161936.38412051706,77.28288187657078,21.949176207763195
2008,9,8424,6991,1379,126500,176746.78680971017,82.98907882241215,16.369895536562204
2008,NA,3,3,0,61200,85509.11741307718,100,0
2009,1,10568,7495,2943,84200,119108.95386191165,70.9216502649508,27.848221044663134
2009,10,10195,8187,1953,134100,189697.27687508732,80.30407062285434,19.15644923982344
2009,11,11371,10383,966,150500,212896.64556078034,91.31123032275086,8.495295048808373
2009,12,6643,4024,2546,82300,116421.22212393502,60.57504139695921,38.32605750413969
2009,13,10342,9573,754,151000,213603.94338656365,92.5643009089151,7.29065944691549
2009,14,11488,9456,1994,145300,205540.74817263376,82.31197771587743,17.35724233983287
2009,15,8453,4271,4011,60000,84875.7390939988,50.526440317047204,47.45060925115344
2009,2,9432,7587,1783,97900,138488.9142883747,80.43893129770993,18.90373197625106
2009,3,6703,4617,2072,222900,315313.3707342055,68.87960614650157,30.911532149783678
2009,4,3594,2337,1244,210000,297065.0868289958,65.02504173622704,34.613244296048975
2009,5,11527,10167,1318,137400,194365.44252525724,88.2016136028455,11.434024464301205
2009,6,9386,5206,4017,66100,93504.77256855535,55.465587044534416,42.797783933518005
2009,7,11246,7531,3560,89800,127030.68951068487,66.96603236706385,31.655699804374887
2009,8,7164,5456,1663,107900,152634.8708040412,76.15857063093245,23.21328866554997
2009,9,8618,6915,1666,118600,167771.0442758043,80.23903457878858,19.331631469018333
2009,NA,3,3,0,61200,86573.25387587877,100,0
2010,1,10555,7275,3105,82600,115549.6415729354,68.92468024632875,29.417337754618668
2010,10,10197,8059,2008,129200,180738.6645426544,79.03304893596156,19.692066294008043
2010,11,11375,10324,1012,147200,205918.97384426263,90.76043956043956,8.896703296703297
2010,12,6628,3919,2631,74300,103938.72117274941,59.12794206397103,39.69523234761617
2010,13,10346,9474,831,143000,200043.56834055405,91.57162188285326,8.032089696501062
2010,14,11499,9368,2064,141400,197805.31862485554,81.4679537351074,17.949386903208975
2010,15,8370,4117,3996,54500,76240.38094098038,49.18757467144564,47.74193548387097
2010,2,9427,7382,1904,93200,130378.04593943802,78.30699055903256,20.197305611541317
2010,3,6718,4570,2124,221000,309158.2419808562,68.02619827329562,31.616552545400417
2010,4,3736,2395,1300,201900,282439.1359997053,64.10599571734475,34.796573875803
