year,city_nhood,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1992,MAITLAND PARK,322,303,19,77800,168728.26409707355,94.09937888198758,5.900621118012422
1992,MAPLE TREE,338,143,195,39750,86207.5642398287,42.30769230769231,57.692307692307686
1992,MARTIN DRIVE,434,285,145,43700,94774.10206995005,65.66820276497695,33.41013824884793
1992,MC GOVERN PARK,1068,918,149,38100,82629.1370449679,85.95505617977528,13.951310861423222
1992,MELODY VIEW,192,150,42,81000,175668.24411134905,78.125,21.875
1992,MENOMONEE RIVER HILLS,1926,1862,63,62100,134678.98715203427,96.67705088265835,3.2710280373831773
1992,MENOMONEE RIVER HILLS EAST,661,587,74,63400,137498.3540328337,88.80484114977307,11.195158850226928
1992,MENOMONEE RIVER PARKWAY,229,205,24,59300,128606.5046395432,89.51965065502183,10.480349344978166
1992,MENOMONEE RIVER VALLEY,11,2,9,19300,41856.75446109922,18.181818181818183,81.81818181818183
1992,MERRILL PARK,551,298,251,28400,61592.322626695226,54.08348457350273,45.5535390199637
1992,METCALFE PARK,723,272,445,20100,43591.7494646681,37.6210235131397,61.54910096818811
1992,MIDTOWN,1378,642,726,14700,31880.53319057816,46.589259796806964,52.685050798258345
1992,MILL VALLEY,326,292,34,55200,119714.65524625269,89.57055214723927,10.429447852760736
1992,MILLER VALLEY,111,71,40,40400,87617.24768022842,63.96396396396396,36.03603603603604
1992,MITCHELL FIELD,72,56,16,73400,159185.7915774447,77.77777777777779,22.22222222222222
1992,MITCHELL PARK,8,6,2,33050,71676.98108493934,75,25
1992,MITCHELL WEST,865,770,95,68700,148992.69593147753,89.01734104046243,10.982658959537572
1992,MORGAN HEIGHTS,540,481,59,77250,167535.45503211993,89.07407407407408,10.925925925925926
1992,MORGANDALE,2510,2307,202,66600,144438.33404710924,91.91235059760956,8.047808764940239
1992,MOUNT MARY,723,680,43,78300,169812.63597430408,94.05255878284923,5.94744121715076
1992,MOUNT OLIVET,63,53,10,63100,136847.7309064954,84.12698412698413,15.873015873015872
1992,MURRAY HILL,679,467,212,87000,188680.70663811566,68.77761413843888,31.22238586156112
