year,owner_type2,aldermanic,parcels,median_value,median_value_adj
1993,rest of Wisconsin landlord,5,44,64650,136128.34823284822
1993,rest of Wisconsin landlord,6,64,23800,50113.761607761604
1993,rest of Wisconsin landlord,7,107,36300,76434.01455301454
1993,rest of Wisconsin landlord,8,93,44200,93068.41441441441
1993,rest of Wisconsin landlord,9,39,51500,108439.44213444213
1993,suburbs landlord,1,427,35800,75381.20443520443
1993,suburbs landlord,10,498,55100,116019.67498267497
1993,suburbs landlord,11,257,86700,182557.2744282744
1993,suburbs landlord,12,659,30900,65063.66528066527
1993,suburbs landlord,13,186,74800,157500.39362439362
1993,suburbs landlord,14,462,56850,119704.51039501038
1993,suburbs landlord,15,721,25100,52851.067914067906
1993,suburbs landlord,2,384,48850,102859.54851004851
1993,suburbs landlord,3,277,63800,134338.57103257102
1993,suburbs landlord,4,79,32700,68853.7817047817
1993,suburbs landlord,5,397,72900,153499.71517671517
1993,suburbs landlord,6,357,21200,44639.14899514899
1993,suburbs landlord,7,534,42500,89488.86001386
1993,suburbs landlord,8,534,41800,88014.92584892584
1993,suburbs landlord,9,405,49800,104859.88773388772
1993,suburbs landlord,NA,1,84200,177293.22383922382
1993,NA,10,1,23500,49482.07553707553
1993,NA,11,2,89050,187505.48198198195
1993,NA,12,3,35500,74749.51836451836
1993,NA,13,1,55200,116230.23700623699
1993,NA,14,2,66850,140760.71275121273
1993,NA,15,6,21550,45376.11607761607
1993,NA,2,1,69700,146761.7304227304
1993,NA,3,3,88600,186557.95287595285
1993,NA,5,1,78400,165080.62647262646
1993,NA,7,2,22450,47271.17428967428
1993,NA,9,2,73350,154447.24428274427
1994,City of Milwaukee,1,2,27300,56084.24137931035
1994,City of Milwaukee,10,3,29500,60603.85057471265
1994,City of Milwaukee,12,5,25700,52797.25287356322
1994,City of Milwaukee,15,43,13400,27528.528735632186
1994,City of Milwaukee,3,1,60300,123878.37931034483
1994,City of Milwaukee,4,2,9300,19105.620689655174
1994,City of Milwaukee,6,32,16900,34718.816091954024
1994,City of Milwaukee,7,13,18300,37594.93103448276
1994,City of Milwaukee,8,1,49100,100869.45977011495
1994,City of Milwaukee landlord,1,1468,35000,71902.8735632184
